team,mu_mean,mu_05,mu_95
Gujarat Titans,0.5587104625545455,0.10413540883894551,0.9941563022115634
Chennai Super Kings,0.33424252850305486,0.1090882566950813,0.5551695097308563
Mumbai Indians,0.2753964717879987,0.061640970506759235,0.48698099244575127
Lucknow Super Giants,0.23932310633671888,-0.1730007228938173,0.6325930359997199
Kolkata Knight Riders,0.1371826603944701,-0.089579062326293,0.3486144006949795
Rising Pune Supergiant,0.09466388428341493,-0.4646947400230609,0.6473153473581524
Rajasthan Royals,0.07483448820757396,-0.16093014146470508,0.29980639426922007
Sunrisers Hyderabad,0.05968652584018146,-0.19746151421531455,0.3135776500169278
Royal Challengers Bengaluru,0.04873654581392071,-0.1712106709212409,0.28033494375958434
Punjab Kings,-0.0756396816967662,-0.29233859976779214,0.14464935806421655
Delhi Capitals,-0.10937873118675022,-0.3239170438365494,0.11257644027769367
Gujarat Lions,-0.14082988656807485,-0.7245932228786589,0.4336206006505918
Kochi Tuskers Kerala,-0.2313509915007329,-0.9904270200385532,0.5462990979359778
Deccan Chargers,-0.37524715742077835,-0.765100726416174,0.017214747887470204
Pune Warriors,-0.8903302253487753,-1.4403282274527696,-0.3818171125099574
